frame,timestamp_seconds,track_id,fighter_label,confidence,bbox,keypoints,red_glove_score,white_glove_score,blue_glove_score,white_uniform_score,black_belt_score,standing_score,reference_match_score,pose_reference_match_score,competition_fighter_score,exclude_reference_match_score,exclude_body_match_score,exclude_face_detected,exclude_face_match_score,face_detected,face_match_score,gabriel_candidate_score,id_red_wrist_score,id_white_glove_score,id_blue_glove_score,id_pose_reference_score,id_face_detected,id_face_match_score,id_exclude_reference_score,id_exclude_body_score,id_exclude_face_detected,id_exclude_face_score,id_competition_fighter_score,id_continuity_score,id_reset_side_score,id_match_gap,id_confirmed_not_top,id_hard_reject_active,id_rejection_reason,id_visual_state,strike_punch_score,strike_kick_score,strike_punch_endpoint_motion,strike_kick_endpoint_motion,strike_punch_extension_delta,strike_kick_extension_delta,strike_punch_extension_ratio,strike_kick_extension_ratio,strike_kick_foot_height_change,strike_kick_foot_elevation_body_heights,strike_kick_support_foot_motion_body_heights,strike_punch_opponent_distance_body_heights,strike_punch_target_approach_body_heights,strike_punch_target_distance_body_heights,strike_punch_target_alignment,strike_kick_opponent_distance_body_heights,strike_kick_used_recent_opponent,strike_punch_commitment_frames,strike_kick_commitment_frames,strike_punch_cooldown,strike_kick_cooldown,strike_punch_armed,strike_kick_armed,strike_candidate_type,strike_confirmed,strike_rejection_reason,estimated_action
1,0.0,4,fighter-4,4.1309,"[223, 244, 273, 387]","[[244.74153645833331, 258.244140625], [245.9052734375, 255.91666666666669], [244.04329427083331, 255.68391927083331], [252.42220052083337, 257.3131510416667], [248.6982421875, 257.5458984375], [262.43033854166663, 276.1656901041667], [246.83626302083331, 274.3037109375], [263.5940755208333, 298.7421875], [242.64680989583331, 295.4837239583333], [259.6373697916667, 319.92220052083337], [237.06087239583331, 314.8017578125], [256.14615885416663, 321.0859375], [244.5087890625, 320.15494791666663], [254.74967447916669, 348.55013020833337], [241.7158203125, 347.15364583333337], [252.8876953125, 375.78157552083337], [238.69010416666669, 372.29036458333337]]",0.0,0.0139,0.0,0.0036,0.8265,0.7096,0.6862,0.9153,1.0,0.7044,0.7044,False,0.0,False,0.0,0.5949,0.0,0.0139,0.0,0.9153,False,0.0,0.7044,0.7044,False,0.0,1.0,0.0,0.0,-0.2887,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,3,Ben,4.0231,"[429, 260, 481, 410]","[[442.3046875, 279.82421875], [442.79296875, 276.650390625], [440.3515625, 277.138671875], [450.361328125, 272.98828125], [445.966796875, 274.208984375], [466.962890625, 287.63671875], [448.1640625, 288.61328125], [474.287109375, 308.6328125], [444.013671875, 307.16796875], [457.685546875, 318.88671875], [436.93359375, 322.060546875], [465.009765625, 331.09375], [448.408203125, 330.849609375], [463.544921875, 365.2734375], [446.2109375, 362.34375], [465.25390625, 398.4765625], [448.1640625, 390.6640625]]",0.0069,0.691,0.0,0.8594,0.0144,0.7389,0.8503,0.8937,1.0,0.8043,0.8043,False,0.0,False,0.0,0.8836,0.0069,0.691,0.0,0.8937,False,0.0,0.8043,0.8043,False,0.0,1.0,0.0,1.0,0.2872,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.4192,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,2,fighter-2,3.9209,"[490, 249, 556, 476]","[[514.1328125, 269.39453125], [513.3938802083334, 265.3304036458333], [514.1328125, 265.3304036458333], [518.56640625, 267.5472005208333], [532.6061197916666, 268.6555989583333], [517.0885416666666, 300.0602213541667], [547.7542317708333, 298.5823567708333], [509.32975260416663, 337.0068359375], [548.1236979166667, 334.0511067708333], [497.87630208333337, 369.150390625], [530.7587890625, 361.3916015625], [516.349609375, 372.4755859375], [536.30078125, 372.10611979166663], [513.3938802083334, 429.74283854166663], [530.0198567708334, 426.04817708333337], [517.8274739583334, 474.81770833333337], [527.8030598958334, 471.49251302083337]]",0.0035,0.0,0.0,0.0043,0.904,0.7764,0.5162,0.8344,0.0,0.6684,0.6684,False,0.0,False,0.0,0.5366,0.0035,0.0,0.0,0.8344,False,0.0,0.6684,0.6684,False,0.0,0.0,0.0,0.0,-0.347,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,1,fighter-1,4.7355,"[154, 242, 225, 447]","[[212.5224609375, 265.4228515625], [213.18977864583331, 261.4189453125], [212.18880208333337, 261.4189453125], [195.83951822916669, 259.4169921875], [203.84733072916669, 260.7516276041667], [177.82194010416669, 280.4375], [199.509765625, 286.10970052083337], [174.81901041666669, 309.79947916666663], [201.51171875, 318.80826822916663], [183.16048177083331, 331.82096354166663], [212.85611979166669, 346.8356119791667], [175.81998697916663, 334.15657552083337], [189.16634114583331, 335.82486979166663], [170.81510416666669, 383.8717447916667], [188.83268229166669, 387.87565104166674], [161.80631510416669, 422.90983072916674], [185.16243489583337, 433.5869140625]]",0.1512,0.5434,0.0,0.8191,0.0029,0.7471,0.8098,0.8084,0.0,0.8853,0.8853,False,0.0,False,0.0,0.5964,0.1512,0.5434,0.0,0.8084,False,0.0,0.8853,0.8853,False,0.0,0.0,0.0,0.0,-0.2872,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,4,fighter-4,4.0959,"[223, 245, 273, 387]","[[244.533203125, 258.9134114583333], [245.68880208333331, 256.37109375], [243.83984375, 256.37109375], [252.62239583333331, 257.7578125], [249.15559895833337, 257.9889322916667], [263.71614583333337, 277.171875], [247.53776041666669, 275.3229166666667], [264.1783854166667, 299.82161458333337], [244.07096354166669, 296.5859375], [259.32486979166663, 320.853515625], [237.83072916666669, 316.2311197916667], [256.0891927083333, 322.240234375], [244.76432291666669, 321.3157552083333], [254.93359375, 348.3567708333333], [242.453125, 347.201171875], [253.546875, 374.935546875], [239.91080729166669, 372.162109375]]",0.0,0.0347,0.0,0.0047,0.803,0.7015,0.6883,0.9161,1.0,0.702,0.702,False,0.0,False,0.0,0.6339,0.0,0.0347,0.0,0.9161,False,0.0,0.702,0.702,False,0.0,1.0,0.3485,0.0,-0.0668,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,3,Ben,4.0551,"[430, 262, 482, 411]","[[443.14680989583337, 280.9645182291667], [443.87434895833337, 277.8118489583333], [441.2067057291667, 278.5393880208333], [451.634765625, 274.1741536458333], [445.57194010416663, 276.1142578125], [467.88313802083337, 288.482421875], [448.23958333333337, 290.4225260416667], [475.88606770833337, 308.853515625], [443.6318359375, 309.5810546875], [458.91015625, 320.494140625], [436.3564453125, 324.1318359375], [466.185546875, 330.1946614583333], [449.20963541666663, 329.9521484375], [464.48795572916663, 366.3291015625], [446.78450520833337, 362.69140625], [466.42805989583337, 399.31087239583337], [448.96712239583337, 391.30794270833337]]",0.0,0.6562,0.0,0.869,0.0126,0.7438,0.8379,0.9,1.0,0.7853,0.7853,True,0.0,True,0.0772,0.6075,0.0,0.6562,0.0,0.9,True,0.0772,0.7853,0.7853,True,0.0,1.0,0.7111,1.0,-0.0932,True,True,face_mismatch,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.4192,True,0,0,0,0,True,True,,False,history_warmup,
2,0.033,2,fighter-2,4.0706,"[490, 249, 558, 476]","[[515.5022786458334, 269.7639973958333], [514.3938802083334, 266.0693359375], [515.5022786458334, 265.6998697916667], [518.8274739583334, 268.2861328125], [533.9755859375, 269.39453125], [518.0885416666666, 300.4296875], [549.1236979166667, 299.6907552083333], [510.32975260416663, 337.7457682291667], [550.2320963541666, 334.4205729166667], [498.13736979166663, 369.88932291666663], [533.2366536458334, 362.5], [517.349609375, 372.84505208333337], [537.6702473958334, 372.10611979166663], [514.3938802083334, 429.74283854166663], [531.0198567708334, 425.6787109375], [518.4580078125, 475.18717447916663], [528.8030598958334, 471.49251302083337]]",0.003,0.0,0.0,0.0074,0.9073,0.7731,0.5202,0.8217,0.0,0.6647,0.6647,False,0.0,False,0.0,0.7007,0.003,0.0,0.0,0.8217,False,0.0,0.6647,0.6647,False,0.0,0.0,0.6833,0.0,0.0404,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,1,fighter-1,4.6695,"[155, 243, 226, 448]","[[212.18782552083331, 265.0882161458333], [212.521484375, 261.41796875], [211.85416666666669, 261.0843098958333], [195.17122395833337, 260.0833333333333], [204.513671875, 261.41796875], [178.48828125, 281.1038411458333], [200.17610677083331, 287.10970052083337], [175.81901041666669, 310.13216145833337], [203.17903645833331, 319.80826822916663], [183.82682291666669, 332.15364583333337], [213.18880208333337, 347.501953125], [176.486328125, 334.82291666666663], [190.5, 336.4912109375], [171.81510416666669, 384.5380859375], [189.83268229166669, 388.20833333333326], [163.13997395833331, 423.576171875], [186.49609375, 433.91959635416674]]",0.1468,0.5536,0.0,0.823,0.0024,0.7454,0.8176,0.8071,0.0,0.8948,0.8948,False,0.0,False,0.0,0.6604,0.1468,0.5536,0.0,0.8071,False,0.0,0.8948,0.8948,False,0.0,0.0,0.4146,0.0,-0.0404,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
3,0.067,4,fighter-4,4.1165,"[223, 245, 274, 387]","[[245.49544270833331, 259.14453125], [246.65104166666669, 256.6022135416667], [245.033203125, 256.6022135416667], [253.12239583333331, 257.7578125], [251.04231770833331, 257.9889322916667], [264.6783854166667, 276.2473958333333], [249.193359375, 275.3229166666667], [263.98502604166663, 300.052734375], [246.65104166666669, 296.35481770833337], [259.1315104166667, 320.853515625], [239.94856770833331, 314.84440104166663], [256.8203125, 321.546875], [245.7265625, 320.6223958333333], [255.20247395833331, 347.89453125], [243.18424479166669, 346.2766927083333], [254.046875, 374.2421875], [240.1796875, 371.2376302083333]]",0.0,0.0208,0.0,0.0089,0.7912,0.6966,0.6841,0.9078,1.0,0.6974,0.6974,False,0.0,False,0.0,0.6269,0.0,0.0208,0.0,0.9078,False,0.0,0.6974,0.6974,False,0.0,1.0,0.3401,0.0,-0.0876,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
3,0.067,3,Ben,4.1608,"[431, 262, 484, 411]","[[444.16178385416663, 282.1770833333333], [445.1318359375, 279.2669270833333], [442.2216796875, 279.751953125], [452.64973958333337, 274.9016927083333], [446.5869140625, 276.841796875], [468.89811197916663, 288.2399088541667], [446.10188802083337, 289.9375], [477.1435546875, 308.6110026041667], [443.91927083333337, 308.3684895833333], [460.65266927083337, 320.2516276041667], [437.8564453125, 323.404296875], [466.71549479166663, 330.6796875], [449.73958333333337, 330.6796875], [465.01790364583337, 365.84407552083337], [447.07194010416663, 362.93391927083337], [466.71549479166663, 398.82584635416663], [449.25455729166663, 391.30794270833337]]",0.0,0.7118,0.0035,0.8815,0.0123,0.7422,0.8574,0.8959,1.0,0.7767,0.7767,True,0.0,True,0.069,0.6078,0.0,0.7118,0.0035,0.8959,True,0.069,0.7767,0.7767,True,0.0,1.0,0.7126,1.0,-0.1068,True,True,face_mismatch,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.4192,True,0,0,0,0,True,True,,False,history_warmup,
