frame,timestamp_seconds,track_id,selected_track_id,fighter_label,confidence,bbox,keypoints,red_glove_score,white_glove_score,blue_glove_score,blue_torso_score,white_uniform_score,black_belt_score,standing_score,reference_match_score,pose_reference_match_score,competition_fighter_score,exclude_reference_match_score,exclude_body_match_score,exclude_face_detected,exclude_face_match_score,face_detected,face_match_score,gabriel_candidate_score,id_red_wrist_score,id_white_glove_score,id_blue_glove_score,id_blue_torso_score,id_pose_reference_score,id_face_detected,id_face_match_score,id_exclude_reference_score,id_exclude_body_score,id_exclude_face_detected,id_exclude_face_score,id_competition_fighter_score,id_continuity_score,id_reset_side_score,id_match_gap,id_confirmed_not_top,id_hard_reject_active,id_rejection_reason,id_visual_state,strike_punch_score,strike_kick_score,strike_punch_endpoint_motion,strike_kick_endpoint_motion,strike_punch_extension_delta,strike_kick_extension_delta,strike_punch_extension_ratio,strike_kick_extension_ratio,strike_kick_foot_height_change,strike_kick_foot_elevation_body_heights,strike_kick_support_foot_motion_body_heights,strike_punch_opponent_distance_body_heights,strike_punch_target_approach_body_heights,strike_punch_target_distance_body_heights,strike_punch_target_alignment,strike_kick_opponent_distance_body_heights,strike_kick_used_recent_opponent,strike_punch_commitment_frames,strike_kick_commitment_frames,strike_punch_cooldown,strike_kick_cooldown,strike_punch_armed,strike_kick_armed,strike_candidate_type,strike_confirmed,strike_rejection_reason,estimated_action
1,0.0,3,3,Gabriel,4.7384,"[699, 342, 761, 524]","[[724.0755208333334, 356.2779947916667], [727.6302083333334, 353.6119791666667], [723.4830729166666, 353.3157552083333], [736.5169270833334, 357.462890625], [724.66796875, 356.57421875], [746.5885416666666, 377.3098958333333], [722.890625, 375.5325520833333], [750.1432291666666, 405.74739583333337], [717.55859375, 404.85872395833337], [748.3658854166666, 432.40755208333337], [709.2643229166666, 422.3359375], [737.7018229166666, 425.29817708333337], [723.4830729166666, 424.40950520833337], [737.998046875, 469.73177083333337], [715.1888020833334, 462.91861979166663], [738.2942708333334, 509.12955729166663], [740.3678385416666, 488.09765625]]",0.0578,0.7188,0.0,0.0096,0.7894,0.0233,0.734,0.8006,0.9209,1.0,0.8095,0.8095,False,0.0,False,0.0,0.8795,0.0578,0.7188,0.0,0.0096,0.9209,False,0.0,0.8095,0.8095,False,0.0,1.0,0.0,1.0,0.1511,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.849,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,2,3,fighter-2,4.6591,"[308, 377, 408, 602]","[[349.5771484375, 397.947265625], [350.67578125, 393.9189453125], [350.3095703125, 393.9189453125], [330.16796875, 396.1162109375], [347.013671875, 397.5810546875], [316.251953125, 422.849609375], [349.5771484375, 424.6806640625], [313.6884765625, 456.1748046875], [368.986328125, 462.7666015625], [316.984375, 485.4716796875], [392.0576171875, 489.8662109375], [332.365234375, 491.697265625], [343.3515625, 489.8662109375], [355.4365234375, 541.501953125], [330.5341796875, 546.62890625], [375.2119140625, 579.9541015625], [319.9140625, 589.4755859375]]",0.2829,0.23,0.04,0.0619,0.6186,0.0267,0.7406,0.7996,0.8837,1.0,0.8724,0.8724,True,0.0,True,0.9935,0.7284,0.2829,0.23,0.04,0.0619,0.8837,True,0.9935,0.8724,0.8724,True,0.0,1.0,0.0,0.0,-0.1511,False,True,red_glove,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,1,3,fighter-1,4.9583,"[820, 366, 954, 669]","[[861.8486328125, 391.7431640625], [861.35546875, 387.3046875], [863.328125, 387.3046875], [866.7802734375, 391.25], [885.02734375, 392.236328125], [860.369140625, 428.2373046875], [901.794921875, 426.2646484375], [847.0537109375, 475.087890625], [900.80859375, 464.23828125], [831.2724609375, 510.1025390625], [889.4658203125, 495.3076171875], [876.150390625, 497.2802734375], [900.3154296875, 496.787109375], [893.904296875, 572.734375], [874.6708984375, 560.4052734375], [932.8642578125, 642.763671875], [861.8486328125, 613.6669921875]]",0.2149,0.2544,0.0459,0.1897,0.3798,0.2154,0.7145,0.6299,0.8844,0.0,0.8028,0.8028,False,0.0,False,0.0,0.5714,0.2149,0.2544,0.0459,0.1897,0.8844,False,0.0,0.8028,0.8028,False,0.0,0.0,0.0,0.0,-0.3081,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,3,3,Gabriel,4.8188,"[703, 343, 761, 523]","[[726.140625, 356.828125], [729.65625, 354.19140625], [725.5546875, 353.60546875], [738.73828125, 358.0], [727.01953125, 356.828125], [748.69921875, 378.21484375], [725.26171875, 376.1640625], [752.21484375, 406.6328125], [721.453125, 406.33984375], [750.1640625, 433.29296875], [712.95703125, 423.33203125], [741.08203125, 427.7265625], [725.26171875, 426.5546875], [742.546875, 471.0859375], [716.47265625, 464.34765625], [744.3046875, 510.05078125], [735.80859375, 496.28125]]",0.0542,0.6736,0.0,0.0089,0.7845,0.0224,0.7438,0.7519,0.9267,1.0,0.7861,0.7861,False,0.0,False,0.0,0.8669,0.0542,0.6736,0.0,0.0089,0.9267,False,0.0,0.7861,0.7861,False,0.0,1.0,0.9373,1.0,0.1447,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.8117,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,2,3,fighter-2,4.8595,"[320, 378, 421, 602]","[[360.65625, 399.21875], [361.38541666666663, 395.20833333333337], [361.0208333333333, 395.57291666666663], [340.23958333333337, 397.76041666666663], [357.375, 398.85416666666663], [326.3854166666667, 425.46875], [359.92708333333337, 425.46875], [324.1979166666667, 457.1875], [381.4375, 463.75], [335.13541666666663, 480.52083333333326], [404.7708333333333, 489.63541666666674], [339.5104166666667, 490.0], [354.82291666666663, 488.90625], [367.5833333333333, 540.3125], [345.7083333333333, 545.78125], [382.53125, 582.96875], [326.0208333333333, 590.2604166666666]]",0.2014,0.4125,0.0638,0.0614,0.6261,0.0248,0.7357,0.8275,0.8383,1.0,0.8845,0.8845,True,0.0,True,0.9936,0.7222,0.2014,0.4125,0.0638,0.0614,0.8383,True,0.9936,0.8845,0.8845,True,0.0,1.0,0.2893,0.0,-0.1447,False,True,red_glove,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,1,3,fighter-1,4.9185,"[824, 367, 957, 669]","[[863.4654947916666, 392.16666666666663], [863.4654947916666, 387.74283854166663], [865.431640625, 387.74283854166663], [869.85546875, 391.67513020833337], [887.55078125, 393.14973958333337], [862.9739583333334, 428.54036458333337], [904.7545572916667, 426.57421875], [850.1940104166666, 475.72786458333326], [903.2799479166667, 466.88020833333326], [834.9563802083334, 511.61002604166674], [900.822265625, 514.5592447916667], [877.7200520833334, 498.33854166666674], [901.8053385416667, 497.84700520833326], [894.4322916666667, 572.560546875], [877.228515625, 559.2890625], [936.212890625, 640.8841145833334], [867.3977864583334, 614.8326822916666]]",0.2171,0.1857,0.0562,0.1958,0.3803,0.198,0.7096,0.6387,0.8737,0.0,0.8044,0.8044,False,0.0,False,0.0,0.7105,0.2171,0.1857,0.0562,0.1958,0.8737,False,0.0,0.8044,0.8044,False,0.0,0.0,0.6233,0.0,-0.1564,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
3,0.067,2,,fighter-2,4.9593,"[332, 380, 432, 603]","[[371.111328125, 400.03515625], [371.4742838541667, 396.04264322916663], [371.4742838541667, 396.04264322916663], [351.51171875, 398.58333333333337], [368.5706380208333, 399.30924479166663], [337.7194010416667, 426.53092447916663], [372.2001953125, 425.44205729166663], [335.9046223958333, 457.7451171875], [392.5257161458333, 462.1005859375], [343.8896484375, 483.15201822916663], [415.02897135416674, 487.50748697916663], [352.2376302083333, 489.68522135416663], [366.755859375, 488.2333984375], [379.0963541666667, 539.41015625], [366.0299479166667, 545.5804036458333], [390.7109375, 584.0537109375], [338.0823567708333, 582.6018880208333]]",0.2586,0.4688,0.035,0.0563,0.6337,0.0333,0.7113,0.8439,0.8496,1.0,0.8852,0.8852,False,0.0,False,0.0,0.6346,0.2586,0.4688,0.035,0.0563,0.8496,False,0.0,0.8852,0.8852,False,0.0,1.0,0.3063,1.0,-0.0698,False,True,red_glove,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
3,0.067,1,,fighter-1,4.8948,"[829, 366, 960, 670]","[[867.78125, 392.32291666666663], [867.2864583333334, 387.86979166666663], [868.7708333333334, 387.86979166666663], [873.2239583333334, 391.33333333333337], [891.0364583333333, 392.81770833333337], [866.296875, 427.94791666666663], [907.3645833333333, 426.95833333333337], [853.4322916666666, 475.44791666666663], [906.375, 468.52083333333337], [839.0833333333334, 511.56770833333337], [903.40625, 516.0208333333334], [879.65625, 499.19791666666663], [903.9010416666667, 498.703125], [892.5208333333333, 571.4375], [880.1510416666666, 559.0677083333333], [938.5364583333333, 636.75], [873.71875, 615.96875]]",0.2321,0.2034,0.0555,0.1921,0.3815,0.1801,0.6901,0.6314,0.8724,0.0,0.8054,0.8054,False,0.0,False,0.0,0.7044,0.2321,0.2034,0.0555,0.1921,0.8724,False,0.0,0.8054,0.8054,False,0.0,0.0,0.6194,0.0,0.0698,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
4,0.1,2,,fighter-2,4.8345,"[343, 380, 443, 605]","[[380.9150390625, 400.5810546875], [380.548828125, 396.1865234375], [382.013671875, 396.552734375], [361.505859375, 399.1162109375], [380.1826171875, 399.8486328125], [348.322265625, 428.046875], [385.67578125, 426.58203125], [346.857421875, 461.3720703125], [405.0849609375, 462.1044921875], [350.51953125, 493.96484375], [427.0576171875, 487.7392578125], [364.0693359375, 492.1337890625], [382.013671875, 490.6689453125], [391.53515625, 540.107421875], [384.5771484375, 545.966796875], [398.126953125, 584.4189453125], [354.9140625, 584.4189453125]]",0.3164,0.4537,0.0038,0.0384,0.6604,0.0794,0.7015,0.8414,0.8398,1.0,0.8745,0.8745,False,0.0,False,0.0,0.6372,0.3164,0.4537,0.0038,0.0384,0.8398,False,0.0,0.8745,0.8745,False,0.0,1.0,0.3269,1.0,-0.0673,False,True,red_glove,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
4,0.1,1,,fighter-1,4.8372,"[834, 367, 960, 666]","[[871.6940104166666, 391.43001302083337], [870.720703125, 387.53678385416663], [872.1806640625, 387.05013020833337], [877.0472005208334, 390.45670572916663], [894.080078125, 392.4033203125], [869.2607421875, 427.4423828125], [910.6263020833333, 425.49576822916663], [859.041015625, 473.67447916666674], [909.1663411458333, 464.91471354166674], [844.44140625, 510.66015625], [905.2731119791667, 509.2001953125], [883.3736979166666, 496.060546875], [906.2464192708333, 496.060546875], [889.2135416666667, 569.5452473958334], [886.2936197916667, 558.3522135416666], [938.8522135416667, 630.8636067708334], [879.9671223958334, 617.7239583333334]]",0.1763,0.217,0.0556,0.1724,0.3819,0.1837,0.6868,0.6403,0.8726,0.0,0.8022,0.8022,False,0.0,False,0.0,0.7045,0.1763,0.217,0.0556,0.1724,0.8726,False,0.0,0.8022,0.8022,False,0.0,0.0,0.6157,0.0,0.0673,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
