frame,timestamp_seconds,track_id,replay_fighter_label,replay_score,replay_reject_reason,id_reset_side_score,id_red_wrist_score,id_blue_glove_score,id_blue_torso_score,id_pose_reference_score,reference_match_score,id_exclude_reference_score,strike_candidate_type,strike_confirmed,estimated_action
1,0.0,3,fighter-3,0.4047,not_competition_fighter;red_gloves,0.0,0.2576,0.0,0.001,0.8463,0.4875,0.8892,,False,
1,0.0,2,fighter-2,0.4881,red_gloves,0.0,0.2882,0.0,0.0328,0.8772,0.7909,0.7625,,False,
1,0.0,1,Ben,0.6675,,1.0,0.0,0.1146,0.0313,0.8808,0.9501,0.8201,,False,
2,0.033,3,fighter-3,0.5159,not_competition_fighter;red_gloves,0.0,0.2626,0.0,0.0072,0.8327,0.4953,0.8985,,False,
2,0.033,2,fighter-2,0.6598,red_gloves,0.0,0.1732,0.0,0.0729,0.8866,0.7631,0.7401,,False,
2,0.033,1,Ben,0.8681,,1.0,0.0,0.1285,0.0281,0.875,0.961,0.827,,False,
3,0.067,3,fighter-3,0.5070,not_competition_fighter;red_gloves,0.0,0.3502,0.0,0.0101,0.8304,0.4563,0.8919,,False,
3,0.067,2,fighter-2,0.6575,red_gloves,0.0,0.1979,0.0,0.1202,0.8891,0.7531,0.7127,,False,
3,0.067,1,Ben,0.8712,,1.0,0.0,0.1076,0.068,0.8792,0.9678,0.8116,,False,
4,0.1,3,fighter-3,0.5107,not_competition_fighter;red_gloves,0.0,0.349,0.0,0.0169,0.8204,0.471,0.8961,,False,
4,0.1,2,fighter-2,0.6507,red_gloves,0.0,0.1354,0.0,0.0717,0.8791,0.7399,0.7054,,False,
4,0.1,1,Ben,0.8686,,1.0,0.0,0.1111,0.0852,0.8771,0.96,0.8287,,False,
5,0.133,3,fighter-3,0.5135,not_competition_fighter;red_gloves,0.0,0.3502,0.0,0.024,0.8234,0.4774,0.8988,,False,
5,0.133,2,fighter-2,0.6462,red_gloves,0.0,0.1076,0.0,0.1179,0.8795,0.7254,0.6873,,False,
5,0.133,1,Ben,0.8670,,1.0,0.0,0.125,0.1218,0.8773,0.9528,0.8121,,False,
6,0.167,3,fighter-3,0.5048,not_competition_fighter;red_gloves,0.0,0.353,0.0,0.0215,0.8092,0.457,0.8897,,False,
6,0.167,2,fighter-2,0.6430,red_gloves,0.0,0.0903,0.0,0.0901,0.8735,0.7211,0.6999,,False,
6,0.167,1,Ben,0.8663,,1.0,0.0,0.1076,0.1469,0.8771,0.9503,0.8302,,False,
7,0.2,3,fighter-3,0.5019,not_competition_fighter;red_gloves,0.0,0.3571,0.0,0.0327,0.8004,0.4577,0.8843,,False,
7,0.2,2,fighter-2,0.6382,red_gloves,0.0,0.0868,0.0,0.0843,0.8733,0.7038,0.7013,,False,
7,0.2,1,Ben,0.8626,,1.0,0.0,0.1181,0.1791,0.8721,0.9422,0.8206,,False,
8,0.233,3,fighter-3,0.4964,not_competition_fighter;red_gloves,0.0,0.1449,0.0,0.0441,0.7907,0.4613,0.8906,punch,False,
8,0.233,2,fighter-2,0.6288,red_gloves,0.0,0.1528,0.0,0.0929,0.8597,0.6834,0.6757,,False,
8,0.233,1,fighter-1,0.8656,blue_torso,1.0,0.0,0.0833,0.1835,0.8715,0.9555,0.8048,,False,
9,0.267,3,fighter-3,0.4989,not_competition_fighter;red_gloves,0.0,0.2846,0.0,0.0424,0.7935,0.4586,0.8875,,False,
9,0.267,2,fighter-2,0.6222,red_gloves,0.0,0.1146,0.0,0.0672,0.8462,0.6826,0.6797,,False,
9,0.267,1,fighter-1,0.7154,blue_torso,1.0,0.0,0.0486,0.1832,0.863,0.9512,0.8065,,False,
10,0.3,3,fighter-3,0.5055,not_competition_fighter;red_gloves,0.0,0.3128,0.0,0.0478,0.8055,0.469,0.8969,,False,
10,0.3,2,fighter-2,0.6300,red_gloves,0.0,0.1354,0.0,0.0,0.8159,0.7856,0.8039,,False,
10,0.3,1,fighter-1,0.7167,blue_torso,1.0,0.0,0.059,0.1915,0.8686,0.9539,0.8064,,False,
11,0.333,3,fighter-3,0.4990,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3575,0.0,0.0451,0.8096,0.4675,0.9021,,False,
11,0.333,1,fighter-1,0.7160,blue_torso,1.0,0.0,0.0694,0.1821,0.8783,0.956,0.814,,False,
12,0.367,3,fighter-3,0.4959,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3555,0.0,0.0376,0.807,0.4619,0.9062,,False,
12,0.367,1,Ben,0.7184,,1.0,0.0,0.059,0.1589,0.8784,0.9603,0.8096,,False,
13,0.4,3,fighter-3,0.4951,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3557,0.0,0.034,0.8064,0.4591,0.9121,,False,
13,0.4,1,Ben,0.8705,,1.0,0.0,0.0521,0.1451,0.8783,0.9661,0.8083,,False,
14,0.433,3,fighter-3,0.5024,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3614,0.0,0.0338,0.8179,0.4684,0.916,,False,
14,0.433,1,Ben,0.8674,,1.0,0.0,0.0312,0.1223,0.878,0.9537,0.801,,False,
15,0.467,3,fighter-3,0.5021,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3642,0.0,0.0333,0.8086,0.4799,0.9167,,False,
15,0.467,1,Ben,0.8656,,1.0,0.0,0.0,0.09,0.8725,0.954,0.81,,False,
16,0.5,3,fighter-3,0.4951,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3638,0.0,0.0301,0.7947,0.473,0.9174,,False,
16,0.5,1,Ben,0.8659,,1.0,0.0,0.0104,0.0713,0.8754,0.951,0.8017,,False,
17,0.534,3,fighter-3,0.4987,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3648,0.0,0.0297,0.7852,0.4967,0.927,,False,
17,0.534,1,Ben,0.8672,,1.0,0.0,0.0243,0.0412,0.8758,0.956,0.8155,,False,
18,0.567,3,fighter-3,0.5054,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3397,0.0,0.0357,0.8014,0.4988,0.9232,,False,
18,0.567,1,Ben,0.8703,,1.0,0.0,0.0451,0.0529,0.8836,0.9579,0.8145,,False,
19,0.6,4,fighter-4,0.5709,not_competition_fighter;blue_torso,0.0,0.0757,0.0,0.2851,0.9092,0.645,0.8547,,False,
19,0.6,3,fighter-3,0.4996,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3645,0.0,0.0351,0.7824,0.5017,0.9264,,False,
19,0.6,1,Ben,0.8753,,1.0,0.0521,0.0347,0.06,0.9004,0.955,0.83,,False,
20,0.634,4,fighter-4,0.5635,not_competition_fighter;blue_torso,0.0,0.064,0.0,0.2846,0.8902,0.6434,0.8619,,False,
20,0.634,3,fighter-3,0.5014,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3659,0.0,0.0358,0.7818,0.5071,0.9268,,False,
20,0.634,1,Ben,0.8773,,1.0,0.069,0.0174,0.0503,0.9075,0.953,0.8331,,False,
21,0.667,4,fighter-4,0.5634,not_competition_fighter;blue_torso,0.0,0.0742,0.0,0.2826,0.8978,0.6346,0.8569,,False,
21,0.667,3,fighter-3,0.5023,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3671,0.0,0.0366,0.7841,0.5065,0.9289,,False,
21,0.667,1,Ben,0.8722,,1.0,0.0378,0.0,0.0672,0.9041,0.9367,0.8702,,False,
22,0.7,4,fighter-4,0.5613,not_competition_fighter;blue_torso;red_gloves,0.0,0.0817,0.0,0.2429,0.9008,0.6249,0.8446,,False,
22,0.7,3,fighter-3,0.4987,not_competition_fighter;red_gloves;exclude_reference,0.0,0.361,0.0,0.0255,0.7732,0.5109,0.9334,,False,
22,0.7,1,Ben,0.8742,,1.0,0.0129,0.0,0.0752,0.913,0.9326,0.8808,,False,
23,0.734,4,fighter-4,0.5702,not_competition_fighter;blue_torso,0.0,0.0673,0.0,0.2454,0.9063,0.6518,0.8581,,False,
23,0.734,3,fighter-3,0.5035,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3581,0.0,0.0255,0.7828,0.5153,0.9412,,False,
23,0.734,1,Ben,0.8765,,1.0,0.0153,0.0,0.062,0.9208,0.9311,0.8771,,False,
24,0.767,3,fighter-3,0.5093,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3299,0.0,0.0108,0.8012,0.5148,0.9343,,False,
24,0.767,1,Ben,0.8785,,1.0,0.0284,0.0,0.062,0.9224,0.9371,0.8621,,False,
25,0.8,3,fighter-3,0.4638,not_competition_fighter;red_gloves;exclude_reference;face_mismatch,0.0,0.3478,0.0,0.0082,0.7946,0.5091,0.9393,,False,
25,0.8,1,Ben,0.8814,,1.0,0.0236,0.0,0.043,0.9267,0.9432,0.8413,,False,
26,0.834,3,fighter-3,0.4560,not_competition_fighter;red_gloves;exclude_reference;face_mismatch,0.0,0.3408,0.0,0.007,0.7819,0.4993,0.9399,,False,
26,0.834,1,Ben,0.8818,,1.0,0.0516,0.0104,0.0469,0.9264,0.9451,0.8293,,False,
27,0.867,4,fighter-4,0.5647,not_competition_fighter;blue_torso,0.0,0.0763,0.0,0.1897,0.9184,0.6174,0.8392,,False,
27,0.867,3,fighter-3,0.4546,not_competition_fighter;red_gloves;exclude_reference;face_mismatch,0.0,0.3199,0.0,0.004,0.7822,0.4956,0.93,,False,
27,0.867,1,Ben,0.8782,,1.0,0.0324,0.0486,0.0448,0.9213,0.9372,0.8105,,False,
28,0.9,4,fighter-4,0.5600,not_competition_fighter;blue_torso;red_gloves,0.0,0.0804,0.0,0.1873,0.9166,0.6038,0.8239,,False,
28,0.9,3,fighter-3,0.4514,not_competition_fighter;red_gloves;exclude_reference;face_mismatch,0.0,0.3057,0.0,0.0026,0.7774,0.4938,0.9336,,False,
28,0.9,1,Ben,0.8743,,1.0,0.0067,0.059,0.0414,0.9188,0.9248,0.8195,,False,
29,0.934,3,fighter-3,0.4913,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3233,0.0,0.0014,0.7785,0.4829,0.9323,,False,
29,0.934,1,Ben,0.8740,,1.0,0.0447,0.0382,0.0465,0.9217,0.9191,0.8041,,False,
30,0.967,3,fighter-3,0.4462,not_competition_fighter;red_gloves;exclude_reference;face_mismatch,0.0,0.3413,0.0,0.0019,0.7808,0.4774,0.9377,,False,
30,0.967,1,Ben,0.8746,,1.0,0.0388,0.0382,0.0552,0.9217,0.9217,0.7968,,False,
31,1.0,3,fighter-3,0.4911,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3337,0.0,0.0016,0.7718,0.4889,0.9322,,False,
31,1.0,1,Ben,0.8719,,1.0,0.0196,0.0382,0.0521,0.9219,0.9103,0.7925,,False,
32,1.034,3,fighter-3,0.4889,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3514,0.0,0.0007,0.7679,0.4851,0.923,,False,
32,1.034,1,Ben,0.8693,,1.0,0.0165,0.0451,0.0533,0.9228,0.8983,0.7837,,False,
33,1.067,3,fighter-3,0.4833,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3552,0.0,0.0036,0.7573,0.4804,0.9296,,False,
33,1.067,1,Ben,0.8646,,1.0,0.0197,0.0174,0.0817,0.9155,0.8889,0.7562,,False,
34,1.1,3,fighter-3,0.4793,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3543,0.0,0.0078,0.7588,0.4664,0.9345,,False,
34,1.1,1,Ben,0.8637,,1.0,0.014,0.0035,0.1062,0.9125,0.8893,0.749,,False,
35,1.134,3,fighter-3,0.4808,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3566,0.0,0.0131,0.7572,0.4736,0.9327,,False,
35,1.134,1,Ben,0.8649,,1.0,0.0558,0.0,0.1361,0.9091,0.8992,0.7582,,False,
36,1.167,3,fighter-3,0.4785,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3476,0.0,0.0171,0.7621,0.4618,0.9311,,False,
36,1.167,1,Ben,0.8701,,1.0,0.048,0.0,0.1383,0.9138,0.9142,0.7751,,False,
37,1.2,3,fighter-3,0.4886,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3542,0.0,0.0069,0.7744,0.4786,0.937,,False,
37,1.2,1,Ben,0.8702,,1.0,0.0363,0.0,0.1471,0.9067,0.9247,0.7778,,False,
38,1.234,3,fighter-3,0.4929,not_competition_fighter;red_gloves;exclude_reference,0.0,0.349,0.0,0.0031,0.7947,0.4673,0.922,,False,
38,1.234,1,Ben,0.8659,,1.0,0.0274,0.0,0.1545,0.8992,0.9175,0.7594,,False,
39,1.267,3,fighter-3,0.4760,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3447,0.0,0.0042,0.7521,0.4633,0.923,,False,
39,1.267,1,Ben,0.8670,,1.0,0.0187,0.0,0.1403,0.8974,0.9246,0.7884,,False,
40,1.3,3,fighter-3,0.4808,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3264,0.0,0.0043,0.7686,0.4615,0.9232,,False,
40,1.3,1,Ben,0.8713,,1.0,0.0222,0.0,0.1167,0.8969,0.9432,0.8001,,False,
41,1.334,3,fighter-3,0.4850,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3254,0.0,0.0022,0.7778,0.4638,0.9334,,False,
41,1.334,2,fighter-2,0.6383,red_gloves,0.0,0.1376,0.0,0.102,0.8698,0.8847,0.8653,,False,
41,1.334,1,Ben,0.8685,,1.0,0.0181,0.0,0.1109,0.8925,0.9375,0.8067,,False,
42,1.367,3,fighter-3,0.4753,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3275,0.0,0.0022,0.7806,0.4639,0.9321,,False,
42,1.367,2,fighter-2,0.6617,red_gloves,0.0,0.1354,0.0035,0.0894,0.9214,0.7917,0.6558,,False,
42,1.367,1,Ben,0.8677,,1.0,0.0195,0.0,0.101,0.8906,0.937,0.8015,,False,
43,1.401,3,fighter-3,0.4982,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3269,0.0,0.0022,0.8042,0.4826,0.9349,,False,
43,1.401,2,fighter-2,0.6856,red_gloves,0.0,0.2042,0.0312,0.0604,0.8974,0.876,0.7013,,False,
43,1.401,1,Ben,0.8691,,1.0,0.0088,0.0,0.0896,0.889,0.9453,0.7963,,False,
44,1.434,3,fighter-3,0.4831,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3217,0.0,0.0023,0.7753,0.4779,0.9336,,False,
44,1.434,2,fighter-2,0.6903,red_gloves,0.0,0.1908,0.0179,0.0593,0.8925,0.8954,0.7204,,False,
44,1.434,1,Ben,0.8687,,1.0,0.0164,0.0,0.0904,0.8886,0.9442,0.8034,,False,
45,1.467,3,fighter-3,0.4805,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3189,0.0,0.0023,0.7664,0.4817,0.9405,,False,
45,1.467,2,fighter-2,0.7001,red_gloves,0.0,0.2011,0.0408,0.0516,0.8893,0.9288,0.7294,,False,
45,1.467,1,Ben,0.8693,,1.0,0.0166,0.0,0.0746,0.8887,0.9466,0.7941,,False,
46,1.501,3,fighter-3,0.4828,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3372,0.0,0.0022,0.7716,0.4854,0.9389,,False,
46,1.501,2,fighter-2,0.7017,red_gloves,0.0,0.1616,0.0117,0.044,0.8853,0.9377,0.7171,,False,
46,1.501,1,Ben,0.8704,,1.0,0.0099,0.0,0.0692,0.8923,0.9459,0.8025,,False,
47,1.534,3,fighter-3,0.4882,not_competition_fighter;red_gloves;exclude_reference,0.0,0.344,0.0,0.0024,0.7884,0.4844,0.9441,,False,
47,1.534,2,fighter-2,0.7036,red_gloves,0.0,0.2406,0.0026,0.0472,0.8814,0.9449,0.7112,,False,
47,1.534,1,Ben,0.8724,,1.0,0.053,0.0,0.0698,0.8941,0.9515,0.7964,,False,
48,1.567,3,fighter-3,0.4877,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3374,0.0,0.0037,0.7806,0.4951,0.9506,,False,
48,1.567,2,fighter-2,0.7029,red_gloves,0.0,0.1795,0.0,0.0626,0.8822,0.9403,0.7038,,False,
48,1.567,1,Ben,0.8732,,1.0,0.0781,0.0,0.0663,0.8995,0.9473,0.7948,,False,
49,1.601,3,fighter-3,0.4866,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3265,0.0,0.0086,0.7778,0.4984,0.9542,,False,
49,1.601,2,fighter-2,0.7020,red_gloves,0.0,0.1393,0.0,0.069,0.887,0.9343,0.6975,,False,
49,1.601,1,fighter-1,0.8742,red_gloves,1.0,0.1265,0.0,0.0727,0.9069,0.941,0.7986,,False,
50,1.634,3,fighter-3,0.4823,not_competition_fighter;red_gloves;exclude_reference,0.0,0.313,0.0,0.0135,0.7838,0.4733,0.9419,,False,
50,1.634,2,fighter-2,0.7028,red_gloves,0.0,0.1207,0.0,0.0733,0.8944,0.9245,0.679,,False,
50,1.634,1,fighter-1,0.8188,red_gloves,1.0,0.1583,0.0,0.0784,0.907,0.9422,0.7914,,False,
51,1.667,3,fighter-3,0.4787,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3162,0.0,0.0174,0.7752,0.4693,0.9441,,False,
51,1.667,2,fighter-2,0.7045,red_gloves,0.0,0.1444,0.0026,0.0794,0.8974,0.9207,0.6705,,False,
51,1.667,1,fighter-1,0.8211,red_gloves,1.0,0.1641,0.0,0.0766,0.9164,0.9381,0.7853,,False,
52,1.701,3,fighter-3,0.4815,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3297,0.0,0.0191,0.7881,0.4626,0.9362,,False,
52,1.701,2,fighter-2,0.7048,red_gloves,0.0,0.1837,0.0,0.1007,0.8958,0.9252,0.6526,,False,
52,1.701,1,fighter-1,0.8252,red_gloves,1.0,0.1706,0.0,0.0701,0.9204,0.9428,0.7786,,False,
53,1.734,3,fighter-3,0.4371,not_competition_fighter;red_gloves;exclude_reference;face_mismatch,0.0,0.1746,0.0038,0.0207,0.787,0.4638,0.9381,punch,False,
53,1.734,2,fighter-2,0.6905,red_gloves,0.0,0.1354,0.0312,0.125,0.8913,0.875,0.6489,,False,
53,1.734,1,fighter-1,0.8198,red_gloves,1.0,0.1174,0.0,0.0741,0.9219,0.9288,0.7869,,False,
54,1.767,3,fighter-3,0.4785,not_competition_fighter;red_gloves;exclude_reference,0.0,0.2784,0.055,0.0196,0.7868,0.4539,0.9319,,False,
54,1.767,2,fighter-2,0.6914,red_gloves,0.0,0.0966,0.0278,0.1405,0.8877,0.8863,0.6349,,False,
54,1.767,1,Ben,0.8185,,1.0,0.0767,0.0035,0.0682,0.9165,0.9339,0.7858,,False,
55,1.801,3,fighter-3,0.4807,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3363,0.0,0.0208,0.7935,0.4517,0.9302,,False,
55,1.801,2,fighter-2,0.6902,red_gloves,0.0,0.0922,0.059,0.1422,0.8898,0.8783,0.6312,,False,
55,1.801,1,fighter-1,0.8672,red_gloves,1.0,0.1429,0.0,0.0694,0.8981,0.9243,0.7867,,False,
56,1.834,3,fighter-3,0.4744,not_competition_fighter;red_gloves;exclude_reference,0.0,0.341,0.0,0.0213,0.784,0.4439,0.9272,,False,
56,1.834,2,Ben,0.6929,,0.0,0.05,0.0382,0.1307,0.8948,0.8816,0.6284,,False,
56,1.834,1,fighter-1,0.8052,red_gloves,1.0,0.0835,0.0174,0.0882,0.8861,0.9233,0.7763,,False,
57,1.867,3,fighter-3,0.4730,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3547,0.0,0.0247,0.7836,0.438,0.9242,,False,
57,1.867,2,Ben,0.7216,face_mismatch,0.0,0.0798,0.0,0.1318,0.8935,0.8836,0.622,,False,
57,1.867,1,fighter-1,0.8014,,1.0,0.0148,0.0,0.0948,0.8667,0.9376,0.7706,,False,
58,1.901,3,fighter-3,0.4696,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3083,0.0175,0.0251,0.7729,0.446,0.9259,,False,
58,1.901,2,Ben,0.7216,,0.0,0.0592,0.0,0.1259,0.8904,0.9121,0.6429,,False,
58,1.901,1,fighter-1,0.8053,,1.0,0.0083,0.0,0.1048,0.8681,0.9445,0.7666,,False,
59,1.934,3,fighter-3,0.4698,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3575,0.0,0.0267,0.7824,0.4421,0.9275,,False,
59,1.934,2,Ben,0.7158,,0.0,0.0317,0.0026,0.1194,0.8777,0.9058,0.6424,,False,
59,1.934,1,fighter-1,0.7997,,1.0,0.0,0.0,0.1106,0.8595,0.9292,0.7663,,False,
60,1.967,3,fighter-3,0.4685,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3526,0.0,0.0216,0.7784,0.4444,0.9294,,False,
60,1.967,2,Ben,0.7172,,0.0,0.071,0.0026,0.1343,0.8751,0.9151,0.6484,,False,
60,1.967,1,fighter-1,0.8004,blue_torso,1.0,0.0,0.0,0.1808,0.8593,0.9303,0.7806,,False,
61,2.001,3,fighter-3,0.4719,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3544,0.0,0.0232,0.787,0.4457,0.928,,False,
61,2.001,2,Ben,0.7234,red_gloves,0.0,0.0811,0.0293,0.1323,0.883,0.9298,0.6577,,False,
61,2.001,1,fighter-1,0.7997,,1.0,0.0,0.0,0.1785,0.8597,0.9258,0.7734,,False,
62,2.034,3,fighter-3,0.4699,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3568,0.0,0.0282,0.7845,0.452,0.932,,False,
62,2.034,2,fighter-2,0.7263,red_gloves,0.0,0.0944,0.0547,0.1392,0.8889,0.9338,0.6628,,False,
62,2.034,1,fighter-1,0.8003,blue_torso;red_gloves,1.0,0.1337,0.0174,0.2057,0.8443,0.9256,0.7787,,False,
63,2.067,3,fighter-3,0.4644,not_competition_fighter;red_gloves;exclude_reference,0.0,0.3677,0.0,0.0281,0.7685,0.4578,0.9364,,False,
63,2.067,2,Ben,0.7098,,0.0,0.0717,0.0679,0.159,0.8948,0.9443,0.676,,False,
