frame,timestamp_seconds,track_id,fighter_label,confidence,bbox,keypoints,red_glove_score,white_glove_score,blue_glove_score,white_uniform_score,black_belt_score,standing_score,reference_match_score,pose_reference_match_score,competition_fighter_score,exclude_reference_match_score,exclude_body_match_score,exclude_face_detected,exclude_face_match_score,face_detected,face_match_score,gabriel_candidate_score,id_red_wrist_score,id_white_glove_score,id_blue_glove_score,id_pose_reference_score,id_face_detected,id_face_match_score,id_exclude_reference_score,id_exclude_body_score,id_exclude_face_detected,id_exclude_face_score,id_competition_fighter_score,id_continuity_score,id_reset_side_score,id_match_gap,id_confirmed_not_top,id_hard_reject_active,id_rejection_reason,id_visual_state,strike_punch_score,strike_kick_score,strike_punch_endpoint_motion,strike_kick_endpoint_motion,strike_punch_extension_delta,strike_kick_extension_delta,strike_punch_extension_ratio,strike_kick_extension_ratio,strike_kick_foot_height_change,strike_kick_foot_elevation_body_heights,strike_kick_support_foot_motion_body_heights,strike_punch_opponent_distance_body_heights,strike_punch_target_approach_body_heights,strike_punch_target_distance_body_heights,strike_punch_target_alignment,strike_kick_opponent_distance_body_heights,strike_kick_used_recent_opponent,strike_punch_commitment_frames,strike_kick_commitment_frames,strike_punch_cooldown,strike_kick_cooldown,strike_punch_armed,strike_kick_armed,strike_candidate_type,strike_confirmed,strike_rejection_reason,estimated_action
1,0.0,4,fighter-4,4.3835,"[913, 343, 979, 503]","[[938.4479166666666, 358.6770833333333], [941.8333333333334, 356.0729166666667], [938.4479166666666, 355.8125], [951.7291666666667, 357.8958333333333], [944.9583333333334, 357.8958333333333], [965.7916666666667, 376.90625], [940.53125, 375.8645833333333], [966.5729166666667, 403.98958333333337], [934.5416666666666, 399.5625], [944.1770833333334, 403.20833333333337], [922.5625, 417.53125], [960.84375, 418.57291666666663], [949.6458333333333, 417.79166666666663], [943.1354166666666, 454.25], [962.1458333333333, 454.25], [936.8854166666666, 490.70833333333326], [969.4375, 487.0625]]",0.0,0.8715,0.0,0.7386,0.0219,0.7178,0.4496,0.8853,1.0,0.5717,0.5717,False,0.0,False,0.0,0.5271,0.0,0.8715,0.0,0.8853,False,0.0,0.5717,0.5717,False,0.0,1.0,0.0,0.0,-0.2793,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,3,Gabriel,4.5647,"[423, 337, 504, 516]","[[462.33463541666663, 353.6647135416667], [461.46061197916663, 350.4599609375], [459.1298828125, 351.333984375], [454.46842447916663, 354.2473958333333], [451.263671875, 355.7041015625], [455.05110677083337, 372.6018880208333], [443.68880208333337, 375.806640625], [456.5078125, 399.1139322916667], [445.43684895833337, 406.68880208333337], [461.751953125, 420.3818359375], [457.3818359375, 432.03548177083337], [460.29524739583337, 418.05110677083337], [445.72819010416663, 419.21647135416663], [472.82291666666663, 458.25618489583337], [441.6494140625, 461.75227864583337], [483.89388020833337, 494.673828125], [433.20052083333337, 502.24869791666663]]",0.0,0.9375,0.0,0.8169,0.0,0.7243,0.5379,0.9037,1.0,0.5578,0.5578,False,0.0,False,0.0,0.8064,0.0,0.9375,0.0,0.9037,False,0.0,0.5578,0.5578,False,0.0,1.0,0.0,1.0,0.2508,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.8467,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,2,fighter-2,3.6505,"[545, 575, 747, 718]","[[560.5182291666666, 664.0347222222222], [568.8472222222222, 650.8836805555555], [557.8880208333334, 650.0069444444445], [608.3003472222222, 635.1024305555555], [605.2317708333334, 635.1024305555555], [691.1519097222222, 668.4184027777777], [599.0946180555555, 666.2265625], [731.9201388888889, 721.0225694444445], [602.1631944444445, 714.8854166666666], [647.7534722222222, 717.0772569444445], [603.4782986111111, 717.515625], [692.9053819444445, 720.5842013888889], [635.0407986111111, 717.9539930555555], [771.8116319444445, 637.2942708333334], [519.75, 644.3081597222222], [624.0815972222222, 715.3237847222222], [603.4782986111111, 715.7621527777777]]",0.0757,0.063,0.0,0.0598,0.1028,0.5824,0.4859,0.7447,0.0,0.5122,0.5122,False,0.0,False,0.0,0.4668,0.0757,0.063,0.0,0.7447,False,0.0,0.5122,0.5122,False,0.0,0.0,0.0,0.0,-0.3396,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
1,0.0,1,fighter-1,4.6589,"[647, 401, 811, 704]","[[720.6162109375, 423.291015625], [712.7255859375, 418.8525390625], [729.986328125, 417.8662109375], [706.314453125, 425.263671875], [737.876953125, 423.7841796875], [679.1904296875, 460.771484375], [766.9736328125, 454.3603515625], [658.970703125, 502.6904296875], [796.5634765625, 497.265625], [673.765625, 537.2119140625], [780.7822265625, 534.2529296875], [707.7939453125, 563.349609375], [753.658203125, 559.8974609375], [719.6298828125, 634.8583984375], [760.0693359375, 626.474609375], [731.4658203125, 695.517578125], [765.494140625, 684.66796875]]",0.0,0.0317,0.3853,0.0028,0.1522,0.7959,0.501,0.893,0.0,0.6983,0.6983,False,0.0,False,0.0,0.5556,0.0,0.0317,0.3853,0.893,False,0.0,0.6983,0.6983,False,0.0,0.0,0.0,0.0,-0.2508,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,4,fighter-4,4.3767,"[908, 344, 979, 504]","[[935.4270833333334, 359.9375], [938.8125, 357.0729166666667], [935.6875, 357.0729166666667], [948.7083333333334, 358.8958333333333], [941.6770833333334, 358.8958333333333], [962.5104166666667, 377.3854166666667], [937.25, 376.6041666666667], [963.8125, 404.98958333333337], [931.2604166666666, 399.78125], [943.7604166666666, 409.67708333333337], [918.7604166666666, 417.75], [957.8229166666667, 418.79166666666663], [946.3645833333334, 418.53125], [939.59375, 454.46875], [959.6458333333333, 454.20833333333326], [925.7916666666666, 490.14583333333326], [969.0208333333333, 486.5]]",0.0,0.8087,0.0,0.7751,0.0163,0.7096,0.4545,0.8869,1.0,0.5671,0.5671,False,0.0,False,0.0,0.4522,0.0,0.8087,0.0,0.8869,False,0.0,0.5671,0.5671,False,0.0,1.0,0.0,0.0,-0.3477,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,3,Gabriel,4.4666,"[423, 336, 509, 516]","[[465.12109375, 353.63671875], [464.2421875, 350.4140625], [462.19140625, 351.29296875], [456.91796875, 354.22265625], [454.57421875, 355.39453125], [458.08984375, 372.38671875], [446.95703125, 375.90234375], [459.84765625, 399.046875], [449.0078125, 406.37109375], [464.2421875, 417.796875], [461.60546875, 431.2734375], [463.94921875, 417.796875], [450.1796875, 419.26171875], [474.7890625, 459.984375], [444.02734375, 462.03515625], [489.4375, 493.67578125], [433.1875, 501.29296875]]",0.0,0.8652,0.0,0.8131,0.0,0.7161,0.5512,0.8976,1.0,0.5591,0.5591,False,0.0,False,0.0,0.7999,0.0,0.8652,0.0,0.8976,False,0.0,0.5591,0.5591,False,0.0,1.0,0.9045,1.0,0.1644,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.8088,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,2,fighter-2,3.561,"[542, 578, 747, 718]","[[557.7486979166666, 666.6848958333334], [565.7565104166666, 653.3385416666666], [554.6345486111111, 652.4487847222222], [604.9058159722222, 637.7677951388888], [601.3467881944445, 637.7677951388888], [688.9878472222222, 670.6888020833334], [597.3428819444445, 668.01953125], [731.2513020833333, 720.5151909722222], [601.3467881944445, 715.6215277777777], [674.3068576388889, 717.4010416666666], [603.1263020833334, 718.2907986111111], [692.1019965277778, 720.5151909722222], [633.8229166666666, 719.1805555555555], [772.1801215277778, 638.6575520833334], [604.0160590277778, 645.7756076388888], [772.1801215277778, 713.8420138888889], [603.1263020833334, 712.5073784722222]]",0.0584,0.0078,0.0,0.0594,0.092,0.5847,0.4828,0.7459,0.0,0.5076,0.5076,False,0.0,False,0.0,0.4937,0.0584,0.0078,0.0,0.7459,False,0.0,0.5076,0.5076,False,0.0,0.0,0.262,0.0,-0.3062,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
2,0.033,1,fighter-1,4.6783,"[647, 400, 811, 702]","[[720.6438802083334, 422.708984375], [712.779296875, 418.28515625], [729.9830729166666, 417.30208333333337], [706.880859375, 424.18359375], [737.84765625, 423.20052083333337], [679.8463541666666, 460.06575520833337], [766.8483072916667, 454.16731770833337], [659.2018229166666, 502.337890625], [796.83203125, 496.93098958333326], [674.439453125, 537.2369791666667], [780.611328125, 534.2877604166667], [707.8639322916666, 562.3053385416666], [753.5768229166667, 559.3561197916666], [719.1692708333334, 633.0865885416666], [759.966796875, 624.73046875], [731.4576822916667, 696.4947916666666], [764.8821614583334, 681.7486979166666]]",0.0,0.0342,0.3794,0.0032,0.1596,0.8024,0.5012,0.8923,0.0,0.7054,0.7054,False,0.0,False,0.0,0.6355,0.0,0.0342,0.3794,0.8923,False,0.0,0.7054,0.7054,False,0.0,0.0,0.4438,0.0,-0.1644,False,False,not_active_fighter_pair,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
3,0.067,4,fighter-4,4.2438,"[902, 345, 977, 502]","[[931.833984375, 360.3831380208333], [935.4114583333334, 357.572265625], [932.0895182291666, 357.3167317708333], [945.1217447916666, 359.10546875], [937.966796875, 359.3610026041667], [958.6650390625, 378.2705078125], [933.8782552083334, 377.7594401041667], [960.4537760416667, 405.61263020833337], [927.234375, 400.75748697916663], [941.5442708333334, 414.30078125], [914.4576822916666, 418.900390625], [954.3209635416667, 417.87825520833337], [942.56640625, 417.87825520833337], [935.9225260416666, 453.90852864583326], [956.1097005208333, 452.630859375], [919.8238932291666, 490.70540364583326], [967.8642578125, 486.361328125]]",0.0,0.8112,0.0,0.8351,0.0036,0.7194,0.4706,0.8823,1.0,0.5909,0.5909,False,0.0,False,0.0,0.4557,0.0,0.8112,0.0,0.8823,False,0.0,0.5909,0.5909,False,0.0,1.0,0.0,0.0,-0.3475,False,False,,candidate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,0,0,0,0,True,True,,False,history_warmup,
3,0.067,3,Gabriel,4.4416,"[423, 336, 513, 516]","[[468.87890625, 354.22265625], [468.29296875, 351.29296875], [465.65625, 351.87890625], [460.08984375, 354.22265625], [457.453125, 355.39453125], [457.74609375, 372.09375], [451.59375, 375.90234375], [460.3828125, 400.51171875], [453.3515625, 406.078125], [466.2421875, 417.50390625], [466.2421875, 430.39453125], [466.2421875, 417.2109375], [452.47265625, 418.96875], [476.203125, 459.984375], [447.4921875, 460.5703125], [493.48828125, 494.5546875], [433.4296875, 501.0]]",0.0,0.8873,0.0,0.7769,0.0004,0.7161,0.5568,0.9013,1.0,0.5627,0.5627,False,0.0,False,0.0,0.8032,0.0,0.8873,0.0,0.9013,False,0.0,0.5627,0.5627,False,0.0,1.0,0.9073,1.0,0.1659,False,False,,confirmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.7983,False,0,0,0,0,True,True,,False,history_warmup,
